location,count
Sydney Area Australia,1
Taipei City Taiwan,1
Taiwan,1
Spokane Washington Area,1
Springfield Missouri Area,1
Thailand,1
Toledo Ohio Area,1
Tanzania,1
Terre Haute Indiana Area,1
Singapore,1
Shimla Area India,1
Savannah Georgia Area,1
Serbia,1
Shanghai City China,1
Sheboygan Wisconsin Area,1
San Luis Obispo California Area,1
Saskatchewan Canada,1
Sí£o Paulo Area Brazil,1
Kahramanmaras Turkey,1
Johannesburg Area South Africa,1
Jonesboro Arkansas Area,1
Ithaca New York Area,1
Jackson Tennessee Area,1
Lake Charles Louisiana Area,1
Lakeland Florida Area,1
Lancaster Pennsylvania Area,1
Korea,1
Kazakhstan,1
Leicester United Kingdom,1
Lewiston/Auburn Maine Area,1
Little Rock Arkansas Area,1
Missoula Montana Area,1
Mobile Alabama Area,1
Mumbai Area India,1
Naples Florida Area,1
Nepal,1
Newfoundland And Labrador Canada,1
Nicaragua,1
Hartford Connecticut Area,1
Hickory/Lenoir North Carolina Area,1
Hyderabad Area India,1
India,1
Indianapolis Indiana Area,1
Iowa City Iowa Area,1
Greenville North Carolina Area,1
Grand Forks North Dakota Area,1
Grand Junction Colorado Area,1
Germany,1
Glasgow United Kingdom,1
Greater Grand Rapids Michigan Area,1
Greater Milwaukee Area,1
Augusta Georgia Area,1
Allentown Pennsylvania Area,1
Barnstable/Yarmouth Massachusetts Area,1
Adana Turkey,1
Angola,1
Ankara Turkey,1
Asheville North Carolina Area,1
Athens Georgia Area,1
Auburn Alabama Area,1
Billings Montana Area,1
Birmingham Alabama Area,1
Bay of Plenty New Zealand,1
Braganza Area Portugal,1
Bloomington Indiana Area,1
Buffalo/Niagara New York Area,1
Burlington Vermont Area,1
Calgary Canada Area,1
Cambridge United Kingdom,1
Canada,1
Canberra Area Australia,1
Columbus Georgia Area,1
Ciudad Victoria Area Mexico,1
Cleveland/Akron Ohio Area,1
Eugene Oregon Area,1
Fargo North Dakota Area,1
Fort Pierce Florida Area,1
Fort Smith Arkansas Area,1
Freiburg Area Germany,1
Fresno California Area,1
Dayton Ohio Area,1
Duluth Minnesota Area,1
Edmonton Canada Area,1
Egypt,1
